calculation_variable,market,source,interface_or_tool,raw_field,conversion_rule,unit,period,missing_handling,status
revenue,US,FMP,annual income statement,"revenue","Use first numeric annual row selected by fiscal year; preserve period_end and filing date",reported currency,complete FY,"Revenue CAGR for a missing endpoint is null",CONFIRMED
revenue,US,SEC Company Facts,annual facts,"Revenues; RevenueFromContractWithCustomerExcludingAssessedTax; SalesRevenueNet; RevenueFromContractWithCustomerIncludingAssessedTax; ifrs-full:Revenue","Use only allowed annual form and FY rows with matching fiscal-year-end month",USD/CNY,complete FY,"Fallback/exception only; no automatic SEC replacement when FMP annual input is accepted",CONFIRMED
revenue,CN_A/CN_AH,Tushare,profit,"TOTAL_OPERATE_INCOME; fallback OPERATE_INCOME","Prefer TOTAL_OPERATE_INCOME, then OPERATE_INCOME; keep complete FY rows only for history",CNY,complete FY,"Missing revenue only removes Revenue CAGR; does not alone remove FCFF",CONFIRMED
operating_income,US,FMP,annual income statement,"operatingIncome","Use annual value; no sign inversion",reported currency,complete FY,"Missing operating income removes that NOPAT year",CONFIRMED
operating_income,US,SEC Company Facts,annual facts,"OperatingIncomeLoss; ifrs-full:ProfitLossFromOperatingActivities","Use mapped annual row after form/fiscal-year filters",USD/CNY,complete FY,"Missing means NOPAT unavailable",CONFIRMED
operate_profit,CN_A/CN_AH,Tushare,profit,"OPERATE_PROFIT","Use annual operating profit in A-share NOPAT",CNY,complete FY,"Missing means NOPAT unavailable",CONFIRMED
operating_cash_flow,US,FMP,cash flow statement,"netCashProvidedByOperatingActivities; fallback operatingCashFlow","Use first available mapped field; sum four qualified quarters for TTM",reported currency,annual or four-quarter TTM,"Missing CFO makes Owner FCFF missing",CONFIRMED
operating_cash_flow,US,SEC Company Facts,annual facts,"NetCashProvidedByUsedInOperatingActivities; ifrs-full:CashFlowsFromUsedInOperatingActivities","Use annual allowed rows",USD/CNY,complete FY,"Missing CFO makes annual FCFF missing",CONFIRMED
operating_cash_flow,CN_A/CN_AH,Tushare, cashflow,"NETCASH_OPERATE","Use reported amount; do not annualize one interim row",CNY,FY/YTD cumulative,"Missing any bridge component makes FCFF missing or partial",CONFIRMED
capital_expenditure,US,FMP,cash flow statement,"capitalExpenditure; capitalExpenditures; investmentsInPropertyPlantAndEquipment","Normalize to gross CapEx with abs(value)",reported currency,annual or four-quarter TTM,"Missing CapEx makes Owner FCFF missing",CONFIRMED
capital_expenditure,US,SEC Company Facts,annual facts,"PaymentsToAcquirePropertyPlantAndEquipment; PurchaseOfPropertyPlantAndEquipment","Normalize with abs(value)",USD/CNY,complete FY,"Missing CapEx makes annual FCFF missing",CONFIRMED
long_term_construction_spending,CN_A/CN_AH,Tushare, cashflow,"CONSTRUCT_LONG_ASSET","Normalize with max(value,0); bridge latest YTD + prior FY - prior same YTD",CNY,FY/YTD cumulative,"Missing makes FCFF missing; no direct annualization",CONFIRMED
net_income,US,FMP,annual income statement,"netIncome","Retain for source context; not used by Owner FCFF formula",reported currency,complete FY,"Missing does not by itself block FCFF",CONFIRMED
net_income,US,SEC Company Facts,annual facts,"NetIncomeLoss; ProfitLoss; ifrs-full:ProfitLoss","Use mapped annual row",USD/CNY,complete FY,"Missing does not by itself block FCFF",CONFIRMED
total_profit,CN_A/CN_AH,Tushare,profit,"TOTAL_PROFIT","Used as pretax denominator for A-share tax rate",CNY,complete FY,"Missing makes that NOPAT year unavailable",CONFIRMED
tax,US,FMP,annual income statement,"incomeTaxExpense","Divide by incomeBeforeTax; clip effective rate to 0%-50%",reported currency,complete FY,"Missing or pretax=0 makes that rate missing",CONFIRMED
tax,US,SEC Company Facts,annual facts,"IncomeTaxExpenseBenefit; ifrs-full:IncomeTaxExpense","Divide by mapped pretax; clip to 0%-50%",USD/CNY,complete FY,"Missing rate removes NOPAT year and may block current FCFF",CONFIRMED
tax,CN_A/CN_AH,Tushare,profit,"INCOME_TAX","Divide by TOTAL_PROFIT; clip to 0%-50%",CNY,complete FY,"Missing rate removes NOPAT year",CONFIRMED
pretax_income,US,FMP,annual income statement,"incomeBeforeTax","Use reported value; if absent old normalizer can derive operating income - interest expense + interest income",reported currency,complete FY,"If still missing, tax rate/NOPAT unavailable",CONFIRMED
